Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
,,,,,,,,,,,,,
2021,1,-1,1,Обложка,,,Мария Усеинова,,,да,,,
2021,1,2,4,"Магниты, радио, электроны и ядра",Оглянись вокруг,Василий Птушенко,Алексей Вайнер,,Как работает магнитно-резонансная томография (МРТ)?,,физика,,
2021,1,6,5,Пространство треугольников,Математические сюрпризы,"Алексей Панов, Дмитрий Ал. Панов, Пётр Панов",Мария Усеинова,,Составляем карту мира треугольников,,планиметрия,,
2021,1,11,1,Потрескивающий лёд и шипящие айсберги,Задачи в картинках,"Из книги: Джирла Уокера ""Новый физический фейерверк""",Алексей Вайнер,,Почему шипят айсберги?,,физика,,
2021,1,12,2,Стальная челюсть,Детективные истории,Борис Дружинин,Екатерина Ладатко,,Детективная история про стальную челюсть,да,физика,,
2021,1,14,2,Сгибания бумаги,Странички для маленьких,"Илья Сиротовский, Александр Шкловер",Екатерина Ладатко,,Сгибаем фигуры. Геометрические задачи.,да,планиметрия,,
2021,1,16,2,Зимние задачи,Четыре задачи,Валерия Сирота,Мария Усеинова,,Зимние задачи по физике,да,физика,,
2021,1,18,2,"Франсуа Рабле, Жорж Санд, Александр Дюма",Две трети правды,Сергей Федин,Капыч,,Три истории про писателей. Какая полностью придумана?,,,,
2021,1,20,3,Три креста или чемпионское разрезание,Игры и головоломки,Николай Авилов,Алексей Вайнер,,Крест плюс крест равно крест. Задача на разрезание,,"планиметрия, комбигеом",,
2021,1,23,3,XLII Турнир имени М.В. Ломоносова. Избранные задачи,Олимпиады,,Сергей Чуб,,Избранные задачи Турнира имени Ломоносова,,,,
2021,1,26,2,Конкурс по русскому языку ,Олимпиады,1: И.Ф.Акулич ;2: Б.Л.Гуревич;3 : И.Б.Иткин; 4 :С.И.Переверзева; 5:К.С.Хорошева,Николай Крутиков,,Итоги конкурса по русскому языку. Начинается новый конкурс!,,,,
2021,1,28,4,"Ответы, указания, решения",Ответы,21 : Антон Артюхов; 22 : Сергей Костин; 23 : Николай Авилов; 25 : Игорь Акулич,,,,,,,
2021,1,32,2,Наш конкурс,Олимпиады,,Николай Крутиков,,,да,,,
2021,1,34,1,Подводные лучи,Задачи в картинках,Александр Бердников,Алексей Вайнер,,Как образуются эти подводные лучи?,да,"физика, оптика",,
2020,12,-1,1,Обложка,,,Yustas,,,да,,,
2020,12,2,6,Измерение углов.,Оглянись вокруг,"Андрей Андреев, Полина Ачева,  Алексей Панов",Мария Усеинова,,Измеряем углы и проверяем угольники,,"планиметрия, физика",,
2020,12,8,1,Китайские монеты.,Преданья старины,Михаил Гельфанд,Артём Костюкевич,,Разбираемся в иероглифах на китайских монетах,,,,
2020,12,9,1,«Растущая» ёлочка.,Задачи в картинках,Николай Авилов,Алексей Вайнер,,Выращиваем ёлочку из квадрата,,"планиметрия, комбигеом",,
2020,12,10,3,Волшебный свет.,Как это устроено,Вера Винниченко,Мария Усеинова,,Заставляем нейроны светиться,да,"физика, биология",,
2020,12,13,1,1+1 = 11.,Странички для маленьких,Валерия Сирота,Алексей Вайнер,,Все ли прямоугольники вы найдёте?,,логика,,
2020,12,14,6,Сфериконы и гексакон.,Своими руками,Максим Прасолов,Алексей Вайнер,,Склеиваем сфериконы и катаем их по плоскости,,стереометрия,,
2020,12,20,3,"Теорема Наполеона, замощения плоскости и параллельники.",Смотри!,Григорий Мерзон,Мария Усеинова,,Доказываем теорему Наполеона наглядным замощением,да,"комбигеом, планиметрия",,
2020,12,23,1,Ёлочка – 2021.,Игры и головоломки,Владимир Красноухов,Алексей Вайнер,,Попробуйте сложить самую симметричную ёлочку,,комбигеом,,
2020,12,24,2,"XLII Турнир городов. Осенний тур, 8 - 9 классы: избранные задачи",Олимпиады,,Сергей Чуб,,Избранные задачи Турнира городов,,,,
2020,12,26,4,"Ответы, указания, решения",Ответы,,,,,,,,
2020,12,30,2,Итоги нашего конкурса за 2019/20 учебный год,Олимпиады,,,,Итоги нашего конкурса. Поздравляем победителей!,,,,
2020,12,32,2,Наш конкурс,Олимпиады,"16: Михаил Евдокимов ; 17 : Григорий Гальперин ; 18 : Игорь Акулич ; 19 : Леонард Эйлер ; 20 : Анна Андреева, Михаил Панов",Николай Крутиков,,,да,,,
2020,12,34,1,Отражение в пузыре,Задачи в картинках,Мария Быкова,Николай Воронцов,Фото: Лидия Широнина,Загадка отражений в мыльном пузыре,да,физика,,
2020,11,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2020,11,2,5,Парадокс лифта.,Оглянись вокруг,Амелия Алаева,Мария Усеинова,,Откуда лифт приезжает чаще - сверху или снизу?,,вероятности,,
