выпуск,первая,всего,название,рубрика,авторы,художники,дополнительно,броская,теги,сложность,год
3,18,4,Радуга,Как это устроено,Андрей Щетников,Наталья Гаврилова,"Фото: Wing-Chi Poon, Фото(Рис1, 8): нет ссылок",почему радуга круглая?,физика,,2012
5,10,5,Радио и сигналы,Как это устроено,Александр Бердников,Виктор Пяткин,,,физика,,2012
5,21,1,А был ли Литр?,Улыбнись,Григорий Фельдман,,"Картина """"Портрет Литра"": статья Вулнера, Остальные картины: ссылок нет",,физика,,2012
5,34,1,Яблоко в банке,Задачи в картинках,,Yustas-07,,,физика,,2012
6,12,4,Радио и сигналы,Как это устроено,Александр Бердников,Виктор Пяткин,,,физика,,2012
6,34,1,Необычные пружинки,Задачи в картинках,,Юлия Можейко,,,физика,,2012
8,6,4,Тайна вентилятора,Оглянись вокруг,Александр Бердников,Артём Костюкевич,,"Тайна вентилятора - оказывается, неожиданные открытия есть и здесь,",физика,,2012
8,18,2,Как нагреть песок одной левой,Опыты и эксперименты,Григорий Фельдман,Анастасия Мошина,,"Физические фокусы - без всяких приспособлений,",физика,,2012
10,24,2,Прогулки по воде,Опыты и эксперименты,Александр Бердников,Алие Аблямитова,,Как ходить по воде и не тонуть?,физика,,2012
11,21,1,Дед Мазай и зайцы,Задачи в картинках,,Yustas-07,,,физика,,2012
12,12,4,Нагреватель Толи Втулкина,Опыты и эксперименты,Сергей Дворянинов,Татьяна Ахметгалиева,,,физика,,2012
12,34,1,Надувные шарики,Задачи в картинках,{ Идея : Сергей Дворянинов },Евгения Константинова,,,физика,,2012
1,7,1,Невероятный молоток,Своими руками,Григорий Фельдман,Сергей Чуб,Фото: Дарья Котова,"Из подручных средств (молотка, линейки и верёвочки) мы собрали такую конструкцию, что никто не верит, что она возможна. Соберите её сами!",физика,,2013
1,18,2,Подводные камни закона Архимеда,Как это устроено,Александр Бердников,Анастасия Васильева,,"Хотите увидеть, что такое песок **на самом деле**? Смотрите удивительные фото на развороте!",физика,,2013
2,6,2,Почему облака снизу плоские?,Как это устроено,Александр Бердников,Мария Сергеева,Фото: нет ссылок,Почему облака снизу плоские?,физика,,2013
